period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,60000,60000,,,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,9.8,9.8
1,1.0,1.0,11687.0,11687.0,,,-7500,-7500,757.0,757.0,1884.0,1884.0,713.0,713.0,-4146.0,55854.0,,,-7317.0,-7317.0,738.0,738.0,1838.0,1838.0,696.0,696.0,-4045.0,55955.0,2.4,12.2
2,2.0,2.0,11687.0,23374.0,,,,,757.0,1514.0,1884.0,3768.0,713.0,1426.0,3354.0,59207.0,,,,,720.0,1459.0,1793.0,3631.0,679.0,1374.0,3192.0,59147.0,2.4,14.6
3,3.0,3.0,11687.0,35061.0,,,,,757.0,2270.0,1884.0,5652.0,713.0,2139.0,3354.0,62561.0,,,,,703.0,2161.0,1749.0,5381.0,662.0,2036.0,3114.0,62261.0,2.4,16.9
4,4.0,4.0,11687.0,46748.0,,,,,757.0,3027.0,1884.0,7536.0,713.0,2852.0,3354.0,65915.0,,,,,686.0,2847.0,1707.0,7088.0,646.0,2682.0,3038.0,65299.0,2.4,19.3
5,5.0,5.0,11687.0,58435.0,,,,,757.0,3784.0,1884.0,9420.0,713.0,3565.0,3354.0,69268.0,,,,,669.0,3516.0,1665.0,8753.0,630.0,3312.0,2964.0,68263.0,2.4,21.7
6,6.0,6.0,11687.0,70122.0,,,,,757.0,4541.0,1884.0,11304.0,713.0,4277.0,3354.0,72622.0,,,,,653.0,4168.0,1625.0,10377.0,615.0,3927.0,2892.0,71155.0,2.4,24.1
7,7.0,7.0,11687.0,81809.0,,,,,757.0,5297.0,1884.0,13188.0,713.0,4990.0,3354.0,75976.0,,,,,637.0,4805.0,1585.0,11962.0,600.0,4527.0,2821.0,73977.0,2.4,26.4
8,8.0,8.0,11687.0,93496.0,,,,,757.0,6054.0,1884.0,15072.0,713.0,5703.0,3354.0,79329.0,,,,,621.0,5426.0,1546.0,13509.0,585.0,5112.0,2753.0,76729.0,2.4,28.8
9,9.0,9.0,11687.0,105183.0,,,,,757.0,6811.0,1884.0,16956.0,713.0,6416.0,3354.0,82683.0,,,,,606.0,6032.0,1509.0,15017.0,571.0,5682.0,2685.0,79415.0,2.4,31.2
10,10.0,10.0,11687.0,116870.0,,,,,757.0,7568.0,1884.0,18840.0,713.0,7129.0,3354.0,86037.0,,,,,591.0,6623.0,1472.0,16489.0,557.0,6239.0,2620.0,82034.0,2.4,33.6
11,11.0,11.0,11687.0,128557.0,,,,,757.0,8324.0,1884.0,20724.0,713.0,7842.0,3354.0,89390.0,,,,,577.0,7200.0,1436.0,17925.0,543.0,6783.0,2556.0,84590.0,2.4,35.9
12,12.0,12.0,11687.0,140244.0,,,,,757.0,9081.0,1884.0,22608.0,713.0,8555.0,3354.0,92744.0,,,,,563.0,7763.0,1401.0,19326.0,530.0,7313.0,2494.0,87084.0,2.4,38.3
13,13.0,13.0,11687.0,151931.0,,,,,757.0,9838.0,1884.0,24492.0,713.0,9268.0,3354.0,96098.0,,,,,549.0,8312.0,1367.0,20692.0,517.0,7830.0,2433.0,89517.0,2.4,40.7
14,14.0,14.0,11687.0,163618.0,,,,,757.0,10595.0,1884.0,26376.0,713.0,9981.0,3354.0,99451.0,,,,,536.0,8847.0,1333.0,22026.0,505.0,8335.0,2373.0,91890.0,2.4,43.1
15,15.0,15.0,11687.0,175305.0,,,,,757.0,11351.0,1884.0,28260.0,713.0,10694.0,3354.0,102805.0,,,,,523.0,9370.0,1301.0,23327.0,492.0,8827.0,2316.0,94206.0,2.4,45.4
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,303.0,11654.0,754.0,29014.0,285.0,10979.0,1341.0,104146.0,,,,,207.0,9577.0,515.0,23842.0,195.0,9022.0,917.0,95123.0,0.9,46.4
post-use,15.4,16.94,0.0,179979.80000000002,0,60000,0,-7500,0.0,11654.0,0.0,29014.0,0.0,10979.0,0.0,104146.0,0,60000,0.0,-7317.0,0.0,9577.0,0.0,23842.0,0.0,9022.0,0.0,95123.0,0.0,46.4
